Asia | China | 1,350 million people
NA | Panama | 3.51 million people
SA | Uruguay | 3.37 million people
Africa | Mauritania | 3.37 million people
Africa | Lithuania | 3.26 million people
Europe | Albania | 3.17 million people
Europe | Armenia | 3.09 million people
Asia | Kuwait | 3.05 million people
Asia | Oman | 2.91 million people
NA | Jamaica | 2.73 million people
Asia | Mongolia | 2.7 million people
Europe | Kosovo | 2.42 million people
Europe | Latvia | 2.24 million people
Africa | Namibia | 2.21 million people
Africa | Lesotho | 2.08 million people
Europe | North Macedonia | 2.04 million people
Europe | Slovenia | 2.03 million people
Africa | Botswana | 1.98 million people
Africa | Gambia | 1.75 million people
Africa | Guinea-Bissau | 1.65 million people
Asia | Qatar | 1.51 million people
Africa | Gabon | 1.5 million people
SA | Trinidad and Tobago | 1.34 million people
Europe | Estonia | 1.34 million people
Africa | Mauritius | 1.3 million people
Africa | Eswatini | 1.2 million people
Asia | Timor-Leste | 1.17 million people
Africa | Djibouti | 879000 people
Oceania | Fiji | 854000 people
Asia | Bahrain | 807000 people
Europe | Cyprus | 786873 people
SA | Guyana | 761000 people
Asia | Bhutan | 708000 people
Africa | Equatorial Guinea | 693000 people
Africa | Comoros | 691000 people
Europe | Montenegro | 626000 people
Asia | Macau | 548000 people
Oceania | Solomon Islands | 536000 people
SA | Suriname | 524000 people
Africa | Cape Verde | 513000 people
Europe | Luxembourg | 492000 people
NA | Guadeloupe | 467000 people
Africa | Western Sahara | 416758 people
Europe | Malta | 410000 people
Asia | Brunei | 407000 people
NA | Martinique | 400000 people
NA | Bahamas | 346000 people
Europe | Iceland | 329000 people
Asia | Maldives | 314000 people
NA | Belize | 313000 people
Oceania | French Polynesia | 272000 people
NA | Barbados | 257000 people
Oceania | New Caledonia | 254000 people
Oceania | Vanuatu | 246000 people
Africa | Mayotte | 231139 people
SA | French Guiana | 231000 people
Oceania | Guam | 180000 people
Oceania | Samoa | 179000 people
NA | Saint Lucia | 174000 people
SA | Curacao | 140794 people
Oceania | Micronesia | 111000 people
NA | Saint Vincent and the Grenadines | 109000 people
NA | United States Virgin Islands | 109000 people
SA | Aruba | 107000 people
NA | Grenada | 104000 people
Africa | Tonga | 104000 people
Oceania | Kiribati | 100000 people
Europe | Jersey | 91812 people
NA | Antigua and Barbuda | 89000 people
Oceania | Northern Mariana Islands | 88000 people
Europe | Andorra | 87000 people
Africa | Seychelles | 85000 people
Europe | Isle of Man | 76913 people
NA | Dominica | 67000 people
Oceania | American Samoa | 66432 people
Europe | Guernsey | 65632 people
NA | Bermuda | 65000 people
Oceania | Marshall Islands | 63000 people
NA | Cayman Islands | 57000 people
NA | Greenland | 57000 people
NA | Saint Kitts and Nevis | 52000 people
Europe | Faroe Islands | 50000 people
NA | Sint Maarten | 37429 people
Europe | Liechtenstein | 36000 people
Europe | Monaco | 33000 people
NA | Turks and Caicos Islands | 33000 people
Europe | San Marino | 32000 people
Europe | Gibraltar | 28877 people
NA | British Virgin Islands | 23000 people
Oceania | Palau | 21000 people
Oceania | Cook Islands | 20000 people
Oceania | Wallis and Futuna Islands | 15343 people
NA | Anguilla | 15000 people
Oceania | Nauru | 10000 people
Oceania | Tuvalu | 10000 people
Africa | Saint Helena | 7670 people
NA | Saint Pierre and Miquelon | 7070 people
NA | Montserrat | 6000 people
SA | Falkland Islands | 3140 people
Europe | Svalbard | 2495 people
Oceania | Norfolk Island | 2141 people
Asia | Christmas Island | 1462 people
Oceania | Tokelau | 1416 people
Ocenia | Niue | 1000 people
Europe | Vatican City | 826 people
Asia | Cocos Keeling Islands | 605 people
Oceania | Pitcairn Islands | 48 people
